Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
2,60.12448399,50.381748226523996,8.289717738232971,2015-05-08,FALSE,Excluded (no letters),Excluded,10
1,52.197117309999996,1.9751166407465006,14.15231858033168,2010-05-06,FALSE,Excluded (no letters),Excluded,10
4,43.09220874,11.260440188263459,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,32.1431052,10.680331737576697,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
1,38.51948274,15.39951573849879,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
4,39.83812657,0.513130887848008,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,57.89776574,23.43820224719101,13.870660903278628,2017-06-09,FALSE,Excluded (no letters),Excluded,8
1,67.79634958,35.558593264570646,9.974113710262966,2015-05-08,FALSE,Excluded (no letters),Excluded,5
1,38.58779999,12.172759992422808,28.60013482679942,1997-05-01,FALSE,Included (letters sent),Included,2
2,58.053368750000004,11.695710455764075,10.468670402445236,2001-06-07,FALSE,Excluded (no letters),Excluded,10
1,65.29912472,18.117919277029536,9.336294171195277,2010-05-06,FALSE,Excluded (no letters),Excluded,4
1,48.2443342,6.580911624203821,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
5,35.845442979999994,0.32614861032331255,18.349268841394824,2001-06-07,TRUE,Excluded (no letters),Excluded,10
4,39.43239691,2.762695292184152,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,49.70110581,39.6358868826341,18.775591482159083,2005-05-05,FALSE,Included (letters sent),Included,8
2,70.47288884,0.8821234972896206,6.085456891665361,2010-05-06,TRUE,Excluded (no letters),Excluded,4
1,59.861947439999994,29.188864209489136,13.12173104707292,1997-05-01,FALSE,Excluded (no letters),Excluded,8
2,61.80980255,28.398662409172054,7.89954526095976,2015-05-08,TRUE,Excluded (no letters),Excluded,2
1,51.787909840000005,24.93237840872361,17.79894006574868,1992-04-09,TRUE,Excluded (no letters),Excluded,8
1,44.11155085,6.001471160919043,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
4,41.62213279,2.810122651762149,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,42.396587540000006,7.659224590474986,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,50.34779774,20.140671193268574,16.700323749078436,2015-05-08,FALSE,Excluded (no letters),Excluded,8
1,61.37734628,8.868237158706146,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
2,59.974879560000005,45.31974244426267,14.440739212384148,1994-06-19,FALSE,Excluded (no letters),Excluded,7
2,68.18813044000001,39.7728144907514,8.134895095893938,2011-03-04,FALSE,Excluded (no letters),Excluded,3
2,70.98499348,32.57553462821268,6.520968533566014,2017-06-09,FALSE,Excluded (no letters),Excluded,3
2,57.27870645000001,0.4391678924143727,10.665089272358884,2010-05-06,FALSE,Excluded (no letters),Excluded,2
1,67.13587731,29.832138563604794,10.88123572039303,2001-06-07,FALSE,Excluded (no letters),Excluded,6
1,72.99557169,24.384550084889646,7.1553520438350535,2010-05-06,FALSE,Excluded (no letters),Excluded,6
1,53.59878197,16.915654038598998,16.51957403532561,2005-05-05,FALSE,Excluded (no letters),Excluded,8
2,68.32275495,9.286124401913876,9.035628338322475,2001-06-07,FALSE,Included (letters sent),Included,4
3,31.72454892,11.483774680838192,28.903857118232807,2017-06-09,FALSE,Excluded (no letters),Excluded,9
2,59.628397629999995,16.662328002975084,10.560814873324452,2016-10-20,TRUE,Excluded (no letters),Excluded,3
2,22.04674055,4.388099822005884,51.09832346594367,2017-06-09,TRUE,Excluded (no letters),Excluded,7
1,49.00626733,43.80488327264939,24.833287885173156,1997-05-01,FALSE,Excluded (no letters),Excluded,8
1,48.38170491,29.221382916908773,23.163569983160457,2010-05-06,FALSE,Included (letters sent),Included,7
2,51.94916653,1.6274752475247525,15.433037757083317,2017-06-09,FALSE,Included (letters sent),Included,6
1,52.880453630000005,33.233551902182526,18.280117823984888,2005-05-05,FALSE,Included (letters sent),Included,6
1,53.437605489999996,32.485207100591715,17.332798482969878,1983-06-09,TRUE,Included (letters sent),Included,6
1,58.0834155,25.46598364338995,13.610225982492766,2001-06-07,FALSE,Excluded (no letters),Excluded,6
2,26.05032728,22.166401804480444,38.625201532110005,2015-05-08,FALSE,Included (letters sent),Included,7
1,55.297815400000005,27.909125367194164,13.786678357811669,2015-05-08,FALSE,Excluded (no letters),Excluded,1
1,43.25868135,21.120171100120306,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
2,30.85839516,59.160885917258675,35.43337936979029,2010-05-06,FALSE,Included (letters sent),Included,7
1,58.739475559999995,25.23814659045976,14.349306416102214,2005-05-05,TRUE,Excluded (no letters),Excluded,3
1,57.721214610000004,37.26963949421577,12.889760970388869,2015-05-08,FALSE,Excluded (no letters),Excluded,8
1,65.25513745,20.077895062957797,11.29936195895844,1983-06-09,FALSE,Excluded (no letters),Excluded,7
2,51.707606500000004,58.43391429814717,10.872777941983701,1979-05-03,FALSE,Excluded (no letters),Excluded,2
2,47.34707048,15.860313675135284,24.15349314808007,2017-06-09,TRUE,Excluded (no letters),Excluded,5
2,62.97289172,19.57438804847247,9.999342926604902,2010-05-06,TRUE,Excluded (no letters),Excluded,5
2,33.56875091,62.50046032038299,20.41796920226931,1992-04-09,FALSE,Excluded (no letters),Excluded,5
2,51.48416727,66.8750269431392,7.510217581327222,2004-07-15,TRUE,Excluded (no letters),Excluded,5
2,35.62267156,69.51364175563464,19.71554987159521,2010-05-06,FALSE,Excluded (no letters),Excluded,5
2,61.788245100000005,10.523586182014972,11.268351080587234,1992-04-09,FALSE,Excluded (no letters),Excluded,5
2,51.21731706,41.59332081362989,12.263932124763475,2001-06-07,TRUE,Excluded (no letters),Excluded,5
2,46.90743133,31.044197203225476,19.45510225632722,1997-05-01,FALSE,Excluded (no letters),Excluded,5
2,60.094807630000005,37.243269965394816,9.220723218135895,2015-05-08,FALSE,Excluded (no letters),Excluded,5
