id,const_anon_id,response_auto_and_manual,manualresponse_exists_inc_post_count_nonresponse,manualresponse_exists,partycongruent,partycongruent_neat,issue,position,send_cat,mp_type_detailed,mp_type_abstain_nonreb,diff_mp_party_outliers_removed,diff_mp_party,has_response_info,respondent_reported_letter_status,lr_mp_party,word_total
6,1,FALSE,0,0,1,Constituent-party congruent,tuitionfree,disagree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
18,1,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,agree,2-6,loyalist,loyalist,0,0,1,0,0,68
33,2,TRUE,1,1,1,Constituent-party congruent,tuitionfree,disagree,2-6,loyalist,loyalist,0.012195121951219513,0.012195121951219513,1,0,0.4054651081081644,82
34,2,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,agree,1,loyalist,loyalist,0,0,0,NA,0,239
35,2,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,agree,2-6,loyalist,loyalist,0,0,0,NA,0,85
37,2,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,disagree,2-6,loyalist,loyalist,0.0125,0.0125,0,NA,0.4054651081081644,80
7,3,FALSE,0,0,1,Constituent-party congruent,secondr,disagree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
80,3,FALSE,0,0,0,Constituent-party not congruent,regulation,disagree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
81,3,FALSE,0,0,0,Constituent-party not congruent,secondr,agree,2-6,loyalist,loyalist,NA,NA,1,0,NA,NA
85,3,FALSE,0,0,1,Constituent-party congruent,regulation,agree,2-6,unclear rebel,loyalist,NA,NA,1,0,NA,NA
25,4,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,1,loyalist,loyalist,0.02877697841726619,0.02877697841726619,1,0,0.9985288301111273,417
25,4,TRUE,1,1,1,Constituent-party congruent,immigration,disagree,2-6,loyalist,loyalist,-0.008163265306122448,-0.008163265306122448,0,NA,-0.40546510810816444,245
27,4,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,0.00974025974025974,0.00974025974025974,1,0,0.47000362924573563,308
88,4,FALSE,0,0,1,Constituent-party congruent,secondr,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
89,4,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,0.014285714285714285,0.014285714285714285,0,NA,0.6061358035703155,350
93,4,TRUE,1,1,0,Constituent-party not congruent,immigration,agree,2-6,loyalist,loyalist,-0.015267175572519085,-0.015267175572519085,1,0,-1.0986122886681098,262
93,4,FALSE,0,0,0,Constituent-party not congruent,skilled,agree,2-6,loyalist,loyalist,NA,NA,1,0,NA,NA
110,4,FALSE,0,0,1,Constituent-party congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
115,5,TRUE,1,1,0,Constituent-party not congruent,freedomm,agree,2-6,unclear rebel,rebel,-0.012195121951219513,-0.012195121951219513,0,NA,-0.6931471805599453,82
115,5,TRUE,0,0,0,Constituent-party not congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
119,5,TRUE,0,0,1,Constituent-party congruent,freedomm,disagree,1,unclear rebel,rebel,NA,NA,1,0,NA,NA
119,5,TRUE,1,1,1,Constituent-party congruent,skilled,agree,2-6,loyalist,loyalist,-0.012195121951219513,-0.012195121951219513,1,0,-0.6931471805599453,82
114,6,FALSE,0,0,0,Constituent-party not congruent,customs,agree,1,loyalist,loyalist,NA,NA,1,0,NA,NA
114,6,FALSE,0,0,1,Constituent-party congruent,singlem,disagree,2-6,loyalist,loyalist,NA,NA,1,0,NA,NA
114,6,TRUE,1,1,1,Constituent-party congruent,skilled,agree,beyond 6,loyalist,loyalist,-0.03940886699507389,-0.03940886699507389,1,0,-1.6094379124341003,203
116,6,FALSE,0,0,0,Constituent-party not congruent,singlem,agree,2-6,loyalist,loyalist,NA,NA,1,0,NA,NA
116,6,TRUE,1,1,1,Constituent-party congruent,tuitionfree,disagree,beyond 6,loyalist,loyalist,-0.007894736842105262,-0.007894736842105262,1,0,-0.4700036292457356,380
116,6,FALSE,0,0,1,Constituent-party congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,NA,NA,1,0,NA,NA
121,6,FALSE,0,0,0,Constituent-party not congruent,freedomm,agree,2-6,unclear rebel,loyalist,NA,NA,1,0,NA,NA
121,6,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,agree,beyond 6,loyalist,loyalist,-0.007339449541284404,-0.007339449541284404,1,0,-1.0986122886681098,545
121,6,FALSE,0,0,0,Constituent-party not congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,NA,NA,1,0,NA,NA
124,6,TRUE,1,1,1,Constituent-party congruent,customs,disagree,2-6,loyalist,loyalist,-0.017543859649122806,-0.017543859649122806,1,0,-0.6931471805599453,57
124,6,FALSE,0,0,1,Constituent-party congruent,freedomm,disagree,2-6,unclear rebel,loyalist,NA,NA,1,0,NA,NA
124,6,FALSE,0,0,0,Constituent-party not congruent,skilled,disagree,beyond 6,loyalist,loyalist,NA,NA,1,0,NA,NA
103,7,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,1,unclear rebel,rebel,0.013793103448275862,0.013793103448275862,1,0,0.5877866649021191,290
125,7,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,2-6,unclear rebel,rebel,0.04597701149425287,0.04597701149425287,1,0,1.6094379124341003,87
28,8,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,1,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
28,8,TRUE,1,1,1,Constituent-party congruent,freedomm,disagree,2-6,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
28,8,TRUE,1,1,1,Constituent-party congruent,immigration,agree,2-6,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
255,8,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,2-6,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
255,8,TRUE,1,1,0,Constituent-party not congruent,freedomm,agree,2-6,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
255,8,TRUE,1,1,0,Constituent-party not congruent,immigration,disagree,2-6,loyalist,loyalist,-0.00865800865800866,-0.00865800865800866,0,NA,-0.2876820724517809,693
227,9,FALSE,0,0,1,Constituent-party congruent,tuitionfree,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
257,9,FALSE,0,0,0,Constituent-party not congruent,tuitionfree,disagree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
265,10,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,1,loyalist,loyalist,0.021739130434782608,0.021739130434782608,0,NA,0.6931471805599453,46
265,10,TRUE,1,1,0,Constituent-party not congruent,customs,agree,2-6,loyalist,loyalist,0.027777777777777776,0.027777777777777776,0,NA,1.791759469228055,360
265,10,TRUE,1,1,0,Constituent-party not congruent,freedomm,agree,2-6,unclear rebel,loyalist,0.021739130434782608,0.021739130434782608,0,NA,0.6931471805599453,46
266,10,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,2-6,loyalist,loyalist,0.06685236768802229,0.06685236768802229,0,NA,2.5649493574615367,359
266,10,TRUE,1,1,1,Constituent-party congruent,customs,disagree,2-6,loyalist,loyalist,0.05405405405405406,0.05405405405405406,0,NA,1.0986122886681098,37
266,10,TRUE,1,1,1,Constituent-party congruent,freedomm,disagree,2-6,unclear rebel,loyalist,0.05405405405405406,0.05405405405405406,0,NA,1.0986122886681098,37
273,11,TRUE,1,1,0,Constituent-party not congruent,singlem,agree,2-6,loyalist,loyalist,-0.017621145374449337,-0.017621145374449337,0,NA,-0.6931471805599453,454
273,11,TRUE,1,1,1,Constituent-party congruent,immigration,agree,2-6,loyalist,loyalist,0.009615384615384616,0.009615384615384616,0,NA,0.6931471805599453,208
273,11,FALSE,0,0,1,Constituent-party congruent,skilled,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
287,11,TRUE,1,1,1,Constituent-party congruent,singlem,disagree,1,loyalist,loyalist,0,0,0,NA,0,146
287,11,TRUE,1,1,0,Constituent-party not congruent,immigration,disagree,2-6,loyalist,loyalist,0.020942408376963352,0.020942408376963352,0,NA,1.0986122886681098,191
287,11,FALSE,0,0,0,Constituent-party not congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
274,12,TRUE,1,1,0,Constituent-party not congruent,regulation,agree,1,loyalist,loyalist,0.012711864406779662,0.012711864406779662,0,NA,0.3794896217049037,472
274,12,FALSE,0,0,0,Constituent-party not congruent,tuitionlevel,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
290,12,TRUE,1,1,1,Constituent-party congruent,regulation,disagree,2-6,loyalist,loyalist,0.012711864406779662,0.012711864406779662,0,NA,0.3794896217049037,472
290,12,FALSE,0,0,1,Constituent-party congruent,tuitionlevel,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
113,13,TRUE,1,1,1,Constituent-party congruent,regulation,agree,2-6,extreme rebel,rebel,NA,0.14444444444444446,0,NA,1.6094379124341003,360
113,13,TRUE,1,1,1,Constituent-party congruent,skilled,agree,beyond 6,loyalist,loyalist,0.0638888888888889,0.0638888888888889,0,NA,1.5125880864441827,720
